country,osm_id,city,lat,lon
Somalia,1404233007,بوراما Borama,9.9386691,43.184119
Somalia,1404233530,Garbahaarey غاربهاارآي,3.328,42.219879
Somalia,2814968356,Deg Jannaay,1.7064758,44.6082673
Somalia,4296400861,Hargeysa هرجيسا,9.5601347,44.0683698
Somalia,4298140251,Hargeysa هرجيسا,9.561733,44.061803
Sudan,27565117,الخرطوم,15.593325,32.53565
Sudan,75561491,الدبة,18.043988,30.95119
Sudan,75562621,دنقلا,19.1728506,30.4731589
Sudan,90112925,شندي,16.6884963,33.432286
Sudan,90135276,عطبرة,17.690719,33.98073
Sudan,90187942,رفاعة,14.7677692,33.3659991
Sudan,100013911,وادي حلفا,21.8005,31.350737
Sudan,210360300,كادوقلي‎,11.0085934,29.7155751
Sudan,248948488,كوستي,13.1521864,32.6725113
Sudan,248948657,تندلتي,13.009027,31.866068
Sudan,248948675,أم روابة,12.905825,31.2147916
Sudan,248948689,الأبيض,13.183366,30.222559
Sudan,288510602,بورتسودان,19.619217,37.211709
Sudan,288512635,سواكن,19.103071,37.331236
Sudan,291449779,نيالا,12.0505098,24.8795115
Sudan,294865520,القضارف,14.040941,35.398832
Sudan,300066939,كسلا,15.4521163,36.3771099
Sudan,300069794,ود مدني,14.3965781,33.5309561
Sudan,300074306,الفاشر,13.6238244,25.3555559
Sudan,300076998,الضعين,11.4611731,26.1310939
Sudan,300077759,الدمازين,11.8073636,34.3656298
Sudan,300078547,الجنينة,13.4435,22.4452278
Sudan,321438810,سنار,13.5424054,33.6103555
Sudan,321439793,ربك,13.1844655,32.7398062
Sudan,321459449,كتم,14.20312,24.661729
Sudan,321481872,زالنجي,12.9134096,23.4738132
Sudan,321484289,كاس,12.5058244,24.2859432
Sudan,321502878,بابنوسة,11.3305456,27.8095803
Sudan,321503273,المجلد,11.0323699,27.7545176
Sudan,576348786,الدلنج,12.0315831,29.6516649
Sudan,1620604084,مروي,18.4811972,31.8171688
Sudan,1870260644,مليط,14.1394199,25.5504429
Sudan,1895967608,أبو جبيهة,11.4646721,31.2339838
Sudan,1950229972,أبو حمد,19.5378928,33.3248471
Sudan,1958038093,عبري,20.7930384,30.3406751
Sudan,1958047978,كرمة,19.593098,30.4091017
Sudan,1977780575,الدويم,13.997187,32.30946
Sudan,1980789690,أم درمان,15.6445536,32.4777311
Sudan,2090798224,NA,11.6746838,25.7015154
Sudan,2116631186,المناقل,14.2467437,32.9858537
Sudan,2146406946,تلودي,10.6326436,30.3793795
Sudan,2373597402,النهود,12.692159,28.422103
Sudan,2373597639,ود بندة,13.0931468,27.9432003
Sudan,2374654672,بارا,13.6968325,30.3703697
Sudan,2392785625,NA,13.540079,26.9337863
Sudan,2574072000,بورام,10.8616617,25.1583291
Sudan,2597933459,بوط,11.4210555,33.385474
Sudan,2655669111,المزموم,12.2724838,33.5408281
Sudan,2655669439,القرابين,12.1159815,33.8163017
Sudan,2655669549,اقدي,11.8056389,34.0754246
Sudan,2932393524,تينا,15.0177073,22.8185665
Sudan,2955411569,تمبول,14.9267897,33.422566
Sudan,2971608212,جبيت,18.952248,36.834481
Sudan,2983364451,سنكات,18.8379764,36.8364825
Sudan,3121562429,الحواتة,13.4176259,34.6336766
Sudan,3310640105,السوكي,13.3246176,33.8904559
Sudan,3313215531,سنجة,13.1440522,33.9283527
Sudan,3313277604,ود النيل,12.513909,34.1123314
Sudan,3313281455,"الدندر ,القويسي",13.3342503,34.0869653
Sudan,3396917409,أروما,15.8099977,36.1365693
Sudan,3992349935,الدالي,12.866116,33.4133374
Sudan,3992350981,NA,13.0404907,32.9301557
Sudan,3992374366,الجبلين,12.5949867,32.8088318
Sudan,4002925136,Wedabok,11.3696821,33.6404403
Sudan,4116845005,القولد,18.5046499,30.6330833
Sudan,4309767703,أبو دليق,15.8990206,33.8087818
Sudan,5330580005,NA,13.9019509,29.3213725
Sudan,5838095352,الفولة,11.7104852,28.3448982
Sudan,6201908251,جبرة الشيخ,14.5597528,30.7522666
Uganda,293918338,Mbarara,-0.6109532,30.6533047
Uganda,294001835,Mukono,0.3689136,32.7348393
Uganda,294001845,Jinja,0.4353036,33.2055568
Uganda,304491931,Mbale,1.0711896,34.1749506
Uganda,304816313,Gulu,2.770239,32.3044273
Uganda,305377332,Lira,2.2456918,32.896244
Uganda,309083090,Hoima,1.430976,31.352512
Uganda,311733271,Iganga,0.6154854,33.4794594
Uganda,311747244,Fort Portal,0.6561907,30.2779432
Uganda,311748711,Masaka,-0.3390264,31.7465839
Uganda,773119937,Kampala,0.3177137,32.5813539
Uganda,1217463192,Mityana,0.4020509,32.0450101
